,Unnamed: 0,FacultyID,DepartmentCode,EntryTypeID,TCAS,HomeRegion,SchoolRegionNameEng,EntryGPA,GPAX,GPA_Eng,GPA_Math,GPA_Sci,GPA_Sco,Q1,Q3,Q4,Q5,Q6,Q8,Q9,Q12,Q13,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28,Q30,Q31,Q32,Q33,Status
73,112,11,1105,20,5,0,0,2.19,2.19,2.51,1.91,1.59,2.91,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,MFU student
74,113,11,1105,20,5,0,1,3.253043206,2.55,2.35,1.44,2.46,3.07,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,MFU student
75,114,11,1105,20,5,1,1,3.83,3.83,3.64,3.91,3.74,3.92,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,MFU student
76,115,11,1105,29,5,0,0,3.08,3.08,2.75,2.4,3.08,3.65,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,MFU student
77,116,11,1112,11,1,0,0,3.03,3.06,3.42,3.07,2.66,3,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,MFU student
78,117,11,1112,11,2,0,0,2.88,2.96,2.71,2.61,2.7,3.47,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,MFU student
79,120,11,1112,11,2,0,0,2.4,2.44,2.9,1.9,1.72,2.91,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,MFU student
80,124,11,1112,29,1,0,0,2.84,2.85,2.15,3.32,2.88,2.66,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,MFU student
81,125,11,1112,11,2,0,0,3.91,3.93,3.78,3.94,3.96,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,MFU student
82,127,11,1112,11,2,0,0,2.45,2.37,2.46,1.53,2.02,3.12,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,MFU student
83,130,11,1112,20,5,0,0,3.5,3.5,3.38,3.2,3.5,3.85,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,MFU student
84,131,11,1112,20,5,1,1,3.02,3.02,2.94,2.98,2.53,3.35,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MFU student
